Z1,Z2,Z3,Z4,,,mean,stdev,variance,max,min
-16208,-18432,-17108,-16532,,Z1,-16091.03661,85.41245622,7295.287677,-15844,-16352
-16032,-18440,-17248,-16524,,Z2,-18415.93834,74.5516338,5557.946102,-18216,-18644
-16052,-18488,-17184,-16480,,Z3,-17179.36802,74.41363215,5537.388649,-16940,-17432
-16084,-18400,-17240,-16492,,Z4,-16485.99615,79.03731945,6246.897866,-16284,-16708
-16120,-18504,-17184,-16500,,,,,,,
-16048,-18472,-17064,-16588,,,,,,,
-16040,-18308,-17284,-16564,,,,,,,
-16192,-18368,-17164,-16572,,,,,,,
-15972,-18524,-17176,-16576,,,,,,,
-16068,-18380,-17152,-16496,,,,,,,
-15996,-18340,-17116,-16512,,,,,,,
-16044,-18268,-17108,-16488,,,,,,,
-16056,-18384,-17080,-16448,,,,,,,
-16116,-18288,-17108,-16508,,,,,,,
-16160,-18500,-17276,-16444,,,,,,,
-16144,-18456,-17284,-16480,,,,,,,
-16032,-18412,-17100,-16504,,,,,,,
-16132,-18468,-17120,-16404,,,,,,,
-16200,-18396,-17148,-16560,,,,,,,
-16148,-18468,-17176,-16440,,,,,,,
-16224,-18624,-17160,-16472,,,,,,,
-16084,-18524,-17152,-16488,,,,,,,
-16020,-18324,-17200,-16568,,,,,,,
-16100,-18444,-17268,-16516,,,,,,,
-15956,-18452,-17140,-16436,,,,,,,
-16016,-18404,-17240,-16472,,,,,,,
-16112,-18504,-17168,-16516,,,,,,,
-16148,-18428,-17116,-16500,,,,,,,
-16296,-18368,-17184,-16460,,,,,,,
-16136,-18468,-17140,-16352,,,,,,,
-16076,-18440,-17192,-16484,,,,,,,
-16044,-18500,-17332,-16564,,,,,,,
-16148,-18228,-17136,-16492,,,,,,,
-16032,-18328,-17276,-16432,,,,,,,
-16012,-18384,-17080,-16568,,,,,,,
-16352,-18408,-17036,-16524,,,,,,,
-16204,-18412,-17096,-16520,,,,,,,
-16032,-18508,-17076,-16556,,,,,,,
-16048,-18412,-17144,-16548,,,,,,,
-16028,-18444,-17108,-16544,,,,,,,
-16104,-18396,-17188,-16568,,,,,,,
-16100,-18436,-17148,-16404,,,,,,,
-15980,-18444,-17200,-16600,,,,,,,
-16004,-18376,-17168,-16416,,,,,,,
-15992,-18368,-17116,-16700,,,,,,,
-15992,-18500,-17240,-16472,,,,,,,
-16188,-18540,-17248,-16492,,,,,,,
-16176,-18468,-17248,-16416,,,,,,,
-15964,-18416,-17244,-16524,,,,,,,
-16072,-18312,-17136,-16588,,,,,,,
-16064,-18312,-17308,-16600,,,,,,,
-15984,-18404,-17144,-16360,,,,,,,
-16132,-18304,-17284,-16536,,,,,,,
-16008,-18388,-17104,-16492,,,,,,,
-16108,-18340,-17188,-16460,,,,,,,
-15916,-18424,-17240,-16644,,,,,,,
-16076,-18504,-17200,-16460,,,,,,,
-16088,-18516,-17080,-16432,,,,,,,
-16228,-18444,-17184,-16404,,,,,,,
-16000,-18524,-17208,-16380,,,,,,,
-16016,-18420,-17108,-16584,,,,,,,
-16176,-18408,-17192,-16324,,,,,,,
-16264,-18544,-17228,-16480,,,,,,,
-16036,-18348,-17236,-16396,,,,,,,
-16096,-18360,-17208,-16436,,,,,,,
-16176,-18444,-17240,-16668,,,,,,,
-16184,-18448,-17160,-16552,,,,,,,
-15936,-18472,-17240,-16460,,,,,,,
-15868,-18484,-17100,-16532,,,,,,,
-16160,-18428,-17208,-16496,,,,,,,
-16028,-18352,-17152,-16568,,,,,,,
-16056,-18416,-17180,-16572,,,,,,,
-16276,-18332,-17076,-16520,,,,,,,
-15992,-18644,-17248,-16468,,,,,,,
-16040,-18496,-17060,-16456,,,,,,,
-16152,-18460,-17224,-16420,,,,,,,
-15952,-18344,-17096,-16396,,,,,,,
-16156,-18296,-17260,-16412,,,,,,,
-16108,-18568,-17064,-16388,,,,,,,
-16144,-18440,-17188,-16572,,,,,,,
-16164,-18352,-17176,-16388,,,,,,,
-16184,-18424,-17184,-16472,,,,,,,
-16024,-18300,-17128,-16396,,,,,,,
-16024,-18368,-17136,-16516,,,,,,,
-15956,-18452,-17184,-16408,,,,,,,
-16192,-18296,-17248,-16540,,,,,,,
-15900,-18348,-17120,-16556,,,,,,,
-16012,-18372,-17184,-16624,,,,,,,
-16080,-18336,-16996,-16468,,,,,,,
-16048,-18296,-17188,-16420,,,,,,,
-16016,-18300,-17168,-16460,,,,,,,
-16024,-18320,-17100,-16416,,,,,,,
-16304,-18512,-17248,-16456,,,,,,,
